menu,Description,q
Red White and Blueberry Sundaes ,เมนูของหวาน เมนู Red White and Blueberry Sundaes มีวัตถุดิบ ราสเบอร์รี่ บรั่นดี บลูเบอร์รี่ มะนาว วนิลลา,ฉันอยากทานเมนูของหวานที่มีส่วนผสมของผลไม้ที่มีสีสวยสด
Zwetschgenkuchen ,เมนูของหวาน เมนู Zwetschgenkuchen มีวัตถุดิบ แอปริคอต บรั่นดี พลัม อบเชย,ฉันกำลังมองหาของหวานที่ผสมผสานรสชาติหวานและขม
Fig and Walnut Truffles ,เมนูของหวาน เมนู Fig and Walnut Truffles มีวัตถุดิบ ช็อกโกแลต บรั่นดี มะเดื่อ วอลนัท โกโก้,ฉันอยากทานของหวานที่มีส่วนผสมของช็อกโกแลตและผลไม้
Tart of Les Demoiselles Tatin ,เมนูของหวาน เมนู Tart of Les Demoiselles Tatin มีวัตถุดิบ แอปเปิ้ล,ฉันอยากทานเมนูของหวานที่มีรสชาติของถั่วและผลไม้
Cinnamon Fritters ,เมนูของหวาน เมนู Cinnamon Fritters มีวัตถุดิบ อบเชย,ฉันกำลังมองหาเมนูของหวานที่ผสมผสานรสชาติหวานและเผ็ด
Spiced Coffee Mousse ,เมนูของหวาน เมนู Spiced Coffee Mousse มีวัตถุดิบ กาแฟ กานพลู ลูกจันทน์เทศ เหล้ารัม อบเชย,อยากกินขนมที่ใช้มะพร้าวเป็นส่วนประกอบ
Quick Mango Gratins ,เมนูของหวาน เมนู Quick Mango Gratins มีวัตถุดิบ มะม่วง มะนาว ขิง มะพร้าว,อยากได้ของหวานที่มีรสเปรี้ยวนำและหวานตาม
Rhubarb and Pear Compote ,เมนูของหวาน เมนู Rhubarb and Pear Compote มีวัตถุดิบ เครื่องเทศผสมลูกแพร์ รูบาร์บ วานิลลา,แนะนำของหวานที่ให้รสชาติแบบเครื่องเทศ
Puff Pastry Baskets with Honey Mousse and Assorted Fruit ,เมนูของหวาน เมนู Puff Pastry Baskets with Honey Mousse and Assorted Fruit มีวัตถุดิบ มะม่วง น้ำผึ้ง เครื่องเทศผสมลูกแพร์ สับปะรด สะระแหน่,แนะนำขนมที่มีเนื้อสัมผัสกรอบและรสหวานนำ
Lemon Hazelnut Cookie Sandwiches ,เมนูของหวาน เมนู Lemon Hazelnut Cookie Sandwiches มีวัตถุดิบ เฮเซลนัท อบเชย เลมอน วานิลลา,ขอขนมที่มีรสชาติเปรี้ยวและหวานแบบเลมอน
Apple-Boysenberry Cake ,เมนูของหวาน เมนู Apple-Boysenberry Cake มีวัตถุดิบ แบล็กเบอร์รี บรั่นดี เลมอน แอปเปิล อัลมอนด์ แอปริคอต,อยากทานของหวานที่มีผลเบอร์รีและมีความหวานอมเปรี้ยว
Crème Caramel with Orange and Cinnamon ,เมนูของหวาน เมนู Crème Caramel with Orange and Cinnamon มีวัตถุดิบ อบเชย ส้ม วานิลลา,อยากทานของหวานที่มีกลิ่นส้มและเครื่องเทศ
Oatmeal Raisin Cookies ,เมนูของหวาน เมนู Oatmeal Raisin Cookies มีวัตถุดิบ ลูกเกด วานิลลา อบเชย กานพลู ข้าวโอ๊ต วอลนัท ช็อกโกแลต,อยากทานของหวานที่มีส่วนผสมของผลไม้
Rum-Raisin Pound Cake ,เมนูของหวาน เมนู Rum-Raisin Pound Cake มีวัตถุดิบ ลูกเกด รัม วานิลลา,อยากทานของหวานที่มีส่วนผสมของเหล้ารสหวานและถั่ว
Orange-Pecan Bundt Cake ,เมนูของหวาน เมนู Orange-Pecan Bundt Cake มีวัตถุดิบ พีแคน อบเชย ส้ม,อยากทานของหวานที่มีส่วนผสมของผลไม้รสเปรี้ยวและถั่ว
Apple Ginger Upside-Down Cake ,เมนูของหวาน เมนู Apple Ginger Upside-Down Cake มีวัตถุดิบ ขิง ลูกเกด แอปเปิล มะนาว อบเชย วานิลลา,อยากทานของหวานที่มีส่วนผสมของผลไม้และเครื่องเทศ
Mango-Macadamia Nut Ice-Cream ,เมนูของหวาน เมนู Mango-Macadamia Nut Ice-Cream มีวัตถุดิบ มะม่วง มะนาว,อยากทานของหวานที่มีส่วนผสมของผลไม้เมืองร้อนและรสเปรี้ยว
Fondant-Covered Wedding Cake with Raspberries and Chocolate ,เมนูของหวาน เมนู Fondant-Covered Wedding Cake with Raspberries and Chocolate มีวัตถุดิบ ช็อกโกแลต วานิลลา อัลมอนด์ กุหลาบ ราสป์เบอร์รี,อยากทานของหวานที่มีส่วนผสมของช็อกโกแลตและผลเบอร์รี
Pear and Sour Cherry Mincemeat ,เมนูของหวาน เมนู Pear and Sour Cherry Mincemeat มีวัตถุดิบ ลูกแพร์ มะนาว เชอรี่ ลูกเกด อบเชย ออลสไปซ์ ลูกจันทน์เทศ วอลนัท บรั่นดี,อยากกินเมนูของหวานที่มีส่วนผสมของผลไม้รสเปรี้ยวและหวาน แต่ไม่ใช่ส้ม
Pine Nut Cardamom Scones ,เมนูของหวาน เมนู Pine Nut Cardamom Scones มีวัตถุดิบ วานิลลา กระวาน อบเชย ลูกจันทน์เทศ มะนาว,อยากกินเมนูของหวานที่ให้ความรู้สึกอบอุ่นและเผ็ดร้อนหน่อย มีกลิ่นหอมของเครื่องเทศ
Melon Balls with Port ,เมนูของหวาน เมนู Melon Balls with Port มีวัตถุดิบ มิ้นต์,อยากกินเมนูของหวานที่ให้ความรู้สึกสดชื่นและมีกลิ่นหอมเย็นๆ
Apricot Tart with Honey and Almonds ,เมนูของหวาน เมนู Apricot Tart with Honey and Almonds มีวัตถุดิบ วานิลลา อัลมอนด์ แอปริคอต น้ำผึ้ง,อยากกินเมนูของหวานที่มีรสชาติหวานหอม มีถั่วให้เคี้ยวกรุบๆ
Cranberry Raisin Tart ,เมนูของหวาน เมนู Cranberry Raisin Tart มีวัตถุดิบ ส้ม แครนเบอร์รี ลูกเกด,อยากกินเมนูของหวานที่มีรสชาติเปรี้ยวหวานและมีส่วนผสมของผลไม้ตระกูลเบอร์รี่
Raspberry-Topped Orange Custard Tartlets ,เมนูของหวาน เมนู Raspberry-Topped Orange Custard Tartlets มีวัตถุดิบ ส้ม ราสเบอร์รี,อยากกินเมนูของหวานที่มีรสชาติหวานอมเปรี้ยว หอมกลิ่นส้ม และมีส่วนผสมของผลไม้
Peach Patty-Cakes with Cream ,เมนูของหวาน เมนู Peach Patty-Cakes with Cream มีวัตถุดิบ วานิลลา มะนาว ลูกพีช,อยากกินเมนูของหวานที่มีรสชาติหวานหอม มีกลิ่นหอมของวานิลลา และมีส่วนผสมของผลไม้เนื้อนุ่ม
Chocolate Crackle Cookies ,เมนูของหวาน เมนู Chocolate Crackle Cookies มีวัตถุดิบ โกโก้,อยากกินคุกกี้ช็อกโกแลต
Peach and Brown Sugar Ice Cream ,เมนูของหวาน เมนู Peach and Brown Sugar Ice Cream มีวัตถุดิบ พีช อบเชย ลูกจันทน์เทศ,อยากกินไอศกรีมผลไม้ที่มีรสชาติซินนามอน
Molasses Cookie Baskets with Lemon Sorbet and Gingered Fruit ,เมนูของหวาน เมนู Molasses Cookie Baskets with Lemon Sorbet and Gingered Fruit มีวัตถุดิบ มะนาว ขิง วานิลลา สตรอว์เบอร์รี่ บลูเบอร์รี่ พีช,อยากกินผลไม้จิ้มซอสที่มีรสชาติซ่าหอม
Citrus and Pineapple Compote ,เมนูของหวาน เมนู Citrus and Pineapple Compote มีวัตถุดิบ ส้ม สับปะรด น้ำผึ้ง,อยากกินของหวานที่มีผลไม้รสเปรี้ยว
Grilled Pineapple with Tequila-Brown Sugar Glaze ,เมนูของหวาน เมนู Grilled Pineapple with Tequila-Brown Sugar Glaze มีวัตถุดิบ เตกีลา วานิลลา อบเชย สับปะรด,อยากกินเมนูสับปะรดย่างที่มีรสชาติหวานหอม
Champagne Orange Sorbet ,เมนูของหวาน เมนู Champagne Orange Sorbet มีวัตถุดิบ แชมเปญ ส้ม,อยากกินของหวานที่มีรสชาติแอลกอฮอล์
Toasted Coconut Crêpe Cups with Pineapple à la Mode ,เมนูของหวาน เมนู Toasted Coconut Crêpe Cups with Pineapple à la Mode มีวัตถุดิบ อัลมอนด์ มะพร้าว สับปะรด เหล้ารัม วานิลลา,อยากกินของหวานที่มีกะทิและรสชาติหวานมัน
Coconut Sour Cream Cake ,เมนูของหวาน เมนู Coconut Sour Cream Cake มีวัตถุดิบ มะพร้าว มะนาว,ฉันอยากกินของหวานรสชาติหวานอมเปรี้ยวที่มีเนื้อสัมผัสคล้ายครีม
Apricot-Cherry Shortcakes ,เมนูของหวาน เมนู Apricot-Cherry Shortcakes มีวัตถุดิบ ส้ม ลูกจันทน์เทศ ลูกแอปริคอต มะนาว เชอร์รี่ วานิลลา,ขอขนมที่ผสมผสานระหว่างรสชาติของผลไม้ที่แตกต่างกันและรสชาติอบอุ่นเล็กน้อย
Caramel Lollipops ,เมนูของหวาน เมนู Caramel Lollipops มีวัตถุดิบ ช็อกโกแลต,อยากกินขนมหวานประเภทแท่งที่เคลือบด้วยช็อกโกแลต
"Quince, Apple, and Almond Jalousie ","เมนูของหวาน เมนู Quince, Apple, and Almond Jalousie มีวัตถุดิบ อัลมอนด์ แอปเปิ้ล",ฉันกำลังมองหาของหวานที่มีเนื้อสัมผัสกรุบกรอบและรสชาติหอมหวานของอัลมอนด์
Peanut Butter Coconut Bars ,เมนูของหวาน เมนู Peanut Butter Coconut Bars มีวัตถุดิบ ถั่วลิสง วานิลลา มะพร้าว,ฉันชอบกินขนมแท่งที่มีรสชาติเนยถั่วลิสงและมะพร้าว
Tropical Banana Splits ,เมนูของหวาน เมนู Tropical Banana Splits มีวัตถุดิบ สตรอว์เบอร์รี่ มะม่วง เหล้ารัม กล้วย ลูกแอปริคอต ราสเบอร์รี่ มะพร้าว,ฉันอยากกินของหวานที่ผสมผลไม้รสชาติเปรี้ยวหวานและให้ความรู้สึกสดชื่น
Summer Berry Mint Cream Tart ,เมนูของหวาน เมนู Summer Berry Mint Cream Tart มีวัตถุดิบ วานิลลา มิ้นต์ สตรอว์เบอร์รี่ บลูเบอร์รี่ ราสเบอร์รี่,ฉันชอบกินทาร์ตที่ผสมผสานรสชาติของผลไม้ฤดูร้อนและรสชาติมิ้นต์
Caramelized Orange Tart with Blackberry Purée ,เมนูของหวาน เมนู Caramelized Orange Tart with Blackberry Purée มีวัตถุดิบ ส้ม เลมอน แบล็กเบอร์รี,หาขนมที่เป็นส้มๆ เปรี้ยวๆ หวานๆ ทาน
Pineapple Tart ,เมนูของหวาน เมนู Pineapple Tart มีวัตถุดิบ แคร็กเกอร์เกรแฮม สับปะรด วานิลลา,ขอขนมที่มีเนื้อสัมผัสกรุบๆ ผลไม้รสหวานอมเปรี้ยว
Boysenberry and Grand Marnier Ice Cream Sundaes ,เมนูของหวาน เมนู Boysenberry and Grand Marnier Ice Cream Sundaes มีวัตถุดิบ ส้ม วานิลลา อัลมอนด์ แบล็กเบอร์รี สะระแหน่,อยากกินไอศกรีมซันเดย์รสผลไม้
Grand Fruit Salad ,เมนูของหวาน เมนู Grand Fruit Salad มีวัตถุดิบ องุ่น สตรอว์เบอร์รี พลัม พีช ส้ม,ขอขนมที่รวมผลไม้หลายๆ อย่าง
Pomegranate-Tangerine Sorbet ,เมนูของหวาน เมนู Pomegranate-Tangerine Sorbet มีวัตถุดิบ มะนาว ส้ม มิ้นท์,อยากกินของหวานที่รสชาติเปรี้ยวหวาน มีผลไม้รสเปรี้ยวและรสหวานผสมกัน
Chocolate Pecan Cake ,เมนูของหวาน เมนู Chocolate Pecan Cake มีวัตถุดิบ ช็อกโกแลต รัม พีแคน,อยากกินของหวานที่มีเนื้อสัมผัสแน่นหนึบ เข้มข้นด้วยรสชาติช็อกโกแลตและมีรสชาติหวานเฉพาะตัว
Cinnamon-Nut Cake ,เมนูของหวาน เมนู Cinnamon-Nut Cake มีวัตถุดิบ วานิลลา อบเชย พีแคน,อยากกินเค้กที่มีรสชาติเข้มข้น หอมกลิ่นเครื่องเทศ และมีส่วนผสมของถั่ว
Pecan Toffee ,เมนูของหวาน เมนู Pecan Toffee มีวัตถุดิบ ช็อกโกแลต พีแคน,อยากกินของหวานที่กรุบกรอบ หวานๆ มีรสชาติของถั่ว
Cocoa Tartlet Shells ,เมนูของหวาน เมนู Cocoa Tartlet Shells มีวัตถุดิบ โกโก้,อยากกินของหวานที่มีเปลือกกรอบ เนื้อข้างในรสชาติหวานหอม
Pumpkin-Raisin Bars ,เมนูของหวาน เมนู Pumpkin-Raisin Bars มีวัตถุดิบ อบเชย ลูกจันทน์เทศ กานพลู ฟักทอง ลูกเกด,อยากกินของหวานที่มีรสชาติหวานผสมเครื่องเทศ หอมกลิ่นอบเชย และมีส่วนผสมของผลไม้
Apple-Ginger Upside-Down Cake ,เมนูของหวาน เมนู Apple-Ginger Upside-Down Cake มีวัตถุดิบ ขิง แอปเปิล ขิงวนิลา,มีเมนูของหวานที่มีรสชาติเผ็ดร้อนจากขิงและเนื้อผลไม้หวานๆ บ้างไหม?
Pecan Squares ,เมนูของหวาน เมนู Pecan Squares มีวัตถุดิบ น้ำผึ้ง วนิลลา พีแคน,มีเมนูของหวานอะไรบ้างที่ทำจากถั่วพีแคนและมีรสชาติหวานหอมๆ?
Bran Muffins with Dried Apples ,เมนูของหวาน เมนู Bran Muffins with Dried Apples มีวัตถุดิบ แอปเปิล,มีเมนูของหวานอะไรที่หอมกลิ่นแอปเปิลบ้าง?
Cinnamon-Crunch Peach Sundaes ,เมนูของหวาน เมนู Cinnamon-Crunch Peach Sundaes มีวัตถุดิบ อบเชย เกรแฮม พีช เลมอน วานิลลา,อยากกินซันเดย์ที่รสชาติหวานอมเปรี้ยว
Sorbet with Vodka-Marinated Plums ,เมนูของหวาน เมนู Sorbet with Vodka-Marinated Plums มีวัตถุดิบ พลัม วอดก้า เลมอน,อยากกินไอศกรีมเชอร์เบ็ตผลไม้ที่มีแอลกอฮอล์
Coffee Cream ,เมนูของหวาน เมนู Coffee Cream มีวัตถุดิบ ริคอตต้า กาแฟ บรั่นดี,อยากกินของหวานที่มีกลิ่นกาแฟ
"Coach Farm ""Crème Fraîche"" with Fruit ","เมนูของหวาน เมนู Coach Farm ""Crème Fraîche"" with Fruit มีวัตถุดิบ วานิลลา กล้วย",อยากกินชีสเค้กรสผลไม้
Summer Pudding ,เมนูของหวาน เมนู Summer Pudding มีวัตถุดิบ สตรอว์เบอร์รี่ ราสป์เบอร์รี่ บลูเบอร์รี่ แบล็กเบอร์รี่ แครนเบอร์รี่,อยากกินขนมที่รสชาติคล้ายผลไม้เบอร์รี่
Cream Cheese-Orange Frosting ,เมนูของหวาน เมนู Cream Cheese-Orange Frosting มีวัตถุดิบ ส้ม,อยากกินของหวานที่หอมกลิ่นผลไม้รสเปรี้ยว
Boysenberry-Grand Marnier Ice Cream Bonbons ,เมนูของหวาน เมนู Boysenberry-Grand Marnier Ice Cream Bonbons มีวัตถุดิบ ราสป์เบอร์รี่ ส้ม ช็อคโกแลต วอลนัท โกโก้,อยากกินของหวานที่ทั้งหวานและเปรี้ยว
Coconut Pudding with Tropical Fruits ,เมนูของหวาน เมนู Coconut Pudding with Tropical Fruits มีวัตถุดิบ มะพร้าว วานิลลา สับปะรด กล้วย อบเชย,อยากกินของหวานที่ผสมผลไม้
Frozen White Chocolate and Hazelnut Dacquoise ,เมนูของหวาน เมนู Frozen White Chocolate and Hazelnut Dacquoise มีวัตถุดิบ เฮเซลนัท ช็อคโกแลต,อยากกินของหวานที่มีทั้งช็อกโกแลตและเฮเซลนัท
Trio of Ice Creams ,เมนูของหวาน เมนู Trio of Ice Creams มีวัตถุดิบ น้ำผึ้ง อัลมอนด์ ส้ม หญ้าฝรั่น ลาเวนเดอร์,อยากกินของหวานที่ผสมทั้งน้ำผึ้งและผลไม้
Beaumes-de-Venise Cake with Grapes ,เมนูของหวาน เมนู Beaumes-de-Venise Cake with Grapes มีวัตถุดิบ มะนาว ส้ม วานิลลา องุ่น,อยากกินของหวานที่มีผลไม้และรสชาติเปรี้ยวหวาน
Floating Island ,เมนูของหวาน เมนู Floating Island มีวัตถุดิบ อัลมอนด์ วานิลลา,อยากกินของหวานที่มีรสชาติถั่วกรอบๆ
Strawberry-Blueberry Napoleons ,เมนูของหวาน เมนู Strawberry-Blueberry Napoleons มีวัตถุดิบ มาสคาโปน วานิลลา สตรอว์เบอร์รี่ บลูเบอร์รี่,อยากกินของหวานที่มีรสชาติครีมชีสและผลไม้
Maple-Cream Cheese Icing ,เมนูของหวาน เมนู Maple-Cream Cheese Icing มีวัตถุดิบ เมเปิ้ลวานิลลา,อยากกินของหวานรสชาติหวานมันที่มีกลิ่นวานิลลาเป็นหลัก
Apple Raisin Cake ,เมนูของหวาน เมนู Apple Raisin Cake มีวัตถุดิบ ซินนามอน ลูกจันทน์เทศ เหล้ารัม วานิลลา แอปเปิ้ล ลูกเกด,อยากกินเค้กแอปเปิ้ลรสชาติอบเชยหอมเครื่องเทศ
"Italian Nut-Filled ""Sticks"" (Sfratti) ","เมนูของหวาน เมนู Italian Nut-Filled ""Sticks"" (Sfratti) มีวัตถุดิบ น้ำผึ้ง วอลนัท ส้ม เลมอน ซินนามอน กานพลู พริกไทย",อยากกินของหวานกรุบกรอบกับไส้นัทที่มีกลิ่นเครื่องเทศเหมือนคริสต์มาส
Apple Upside-Down Biscuit Cake ,เมนูของหวาน เมนู Apple Upside-Down Biscuit Cake มีวัตถุดิบ แอปเปิ้ล ซินนามอน,อยากกินของหวานสไตล์บิสกิตรสชาติแอปเปิ้ลอบเชย
Chocolate Almond Bars ,เมนูของหวาน เมนู Chocolate Almond Bars มีวัตถุดิบ อัลมอนด์ กาแฟ วานิลลา ช็อกโกแลต,อยากกินของหวานรสช็อกโกแลตที่หอมกลิ่นกาแฟกับอัลมอนด์กรุบกรอบ
Clafoutis of Prunes ,เมนูของหวาน เมนู Clafoutis of Prunes มีวัตถุดิบ ลูกเกด,อยากกินของหวานไส้ลูกเกดที่หอมกลิ่นเหล้ารัม
Pecan Crescents ,เมนูของหวาน เมนู Pecan Crescents มีวัตถุดิบ พีแคน วานิลลา,อยากกินของหวานที่กรอบนอกนุ่มใน รสชาติไม่หวานจัด
Sauteed Cherries ,เมนูของหวาน เมนู Sauteed Cherries มีวัตถุดิบ เชอร์รี่ เลมอน วานิลลา,อยากกินของหวานที่รสชาติเปรี้ยวหวาน มีกลิ่นเลมอน
Squash Custard Pie ,เมนูของหวาน เมนู Squash Custard Pie มีวัตถุดิบ วานิลลา อบเชย,อยากกินของหวานเนื้อเนียนนุ่ม หวานน้อย
Swiss Sandwich Cookies (spitzbuben) ,เมนูของหวาน เมนู Swiss Sandwich Cookies (spitzbuben) มีวัตถุดิบ วานิลลา ราสเบอร์รี่ แอพริคอต,อยากกินขนมอบที่กรอบนอกนุ่มใน มีไส้หวานอมเปรี้ยวของผลไม้
To Make Sugared Cranberries and Mint Leaves ,เมนูของหวาน เมนู To Make Sugared Cranberries and Mint Leaves มีวัตถุดิบ แครนเบอร์รี่ มิ้นท์,อยากกินอาหารเครื่องดื่มที่รสชาติหวานอมเปรี้ยวและสดชื่น
Jam-Filled Playing Card Cookies ,เมนูของหวาน เมนู Jam-Filled Playing Card Cookies มีวัตถุดิบ เลมอน สตรอว์เบอร์รี่ แอพริคอต,อยากกินขนมอบที่มีไส้ผลไม้หวานอมเปรี้ยว
Portuguese Cream Tarts ,เมนูของหวาน เมนู Portuguese Cream Tarts มีวัตถุดิบ เลม่อน วานิลลา อบเชย,อยากได้ขนมหวานสไตล์โปรตุเกสที่ทำจากไข่
Passion-Fruit and Blackberry Jellies with Lemon Verbena Cream ,เมนูของหวาน เมนู Passion-Fruit and Blackberry Jellies with Lemon Verbena Cream มีวัตถุดิบ แบล็กเบอร์รี่ เลม่อน,อยากได้ของหวานที่มีรสเปรี้ยวและเนื้อเจลลี่
Old-Fashioned Stack Cake ,เมนูของหวาน เมนู Old-Fashioned Stack Cake มีวัตถุดิบ แอปเปิล อบเชย วานิลลา,อยากได้เค้กที่ทำจากแอปเปิลและมีกลิ่นเครื่องเทศ
Mango Sorbets ,เมนูของหวาน เมนู Mango Sorbets มีวัตถุดิบ มะม่วง มะนาว,อยากได้ของหวานที่ทำจากผลไม้รสเปรี้ยวและหวาน
Mrs. Rubenstein's Snowflake Cookies ,เมนูของหวาน เมนู Mrs. Rubenstein's Snowflake Cookies มีวัตถุดิบ อบเชย,อยากได้ขนมที่มีรสชาติอบอุ่นและเครื่องเทศ
Pears Conde ,เมนูของหวาน เมนู Pears Conde มีวัตถุดิบ ลูกแพร์ วานิลลา พิสตาชิโอ,อยากได้ของหวานที่ทำจากลูกแพร์และถั่ว
Neapolitan Sundae ,เมนูของหวาน เมนู Neapolitan Sundae มีวัตถุดิบ สตรอว์เบอร์รี บรั่นดี ช็อกโกแลต วานิลลา อัลมอนด์ ช็อกโกแลตเชอร์รี,อยากทานของหวานที่มีรสสตรอว์เบอร์รีและช็อกโกแลต
Ginger Pudding ,เมนูของหวาน เมนู Ginger Pudding มีวัตถุดิบ ขิง,อยากทานของหวานที่มีรสและกลิ่นขิงแรงๆ
Peanut Butter Tart with Caramel-Peanut Glaze ,เมนูของหวาน เมนู Peanut Butter Tart with Caramel-Peanut Glaze มีวัตถุดิบ อบเชย วานิลลา ถั่วลิสง,อยากทานของหวานที่มีถั่วลิสงเป็นส่วนประกอบหลักและมีรสคาราเมล
Rhubarb Lambrusco Granita ,เมนูของหวาน เมนู Rhubarb Lambrusco Granita มีวัตถุดิบ มะรุม มะนาว,อยากทานของหวานที่มีรสผลไม้เปรี้ยวอย่างส้มหรือมะนาว
Rhubarb and White Chocolate Lattice Tart ,เมนูของหวาน เมนู Rhubarb and White Chocolate Lattice Tart มีวัตถุดิบ มะรุม วิสกี้ ช็อกโกแลต,อยากทานของหวานที่มีมะรุมและช็อกโกแลตขาว
Chinese Noodle Nut Clusters ,เมนูของหวาน เมนู Chinese Noodle Nut Clusters มีวัตถุดิบ ช็อกโกแลตถั่วลิสง,มีขนมอะไรที่มีรสชาติของถั่วและช็อกโกแลตบ้าง
Marscarpone Cream ,เมนูของหวาน เมนู Marscarpone Cream มีวัตถุดิบ มาสคาร์โปน,มีของหวานที่ทำจากมาสคาร์โปนบ้างไหม
Raspberry Semifreddo Torte ,เมนูของหวาน เมนู Raspberry Semifreddo Torte มีวัตถุดิบ อัลมอนด์ราสเบอร์รี่,มีขนมเค้กอะไรที่ผสมอัลมอนด์และราสเบอร์รี่บ้าง
Lattice-Top Blackberry Pie ,เมนูของหวาน เมนู Lattice-Top Blackberry Pie มีวัตถุดิบ แบล็กเบอร์รี่มะนาว,อยากกินพายแบบโฮมเมดที่มีรสเปรี้ยวของมะนาวและความหวานของแบล็กเบอร์รี่ แนะนำหน่อย
Old-Fashioned Apple Raisin Dumplings ,เมนูของหวาน เมนู Old-Fashioned Apple Raisin Dumplings มีวัตถุดิบ แอปเปิลลูกเกดอบเชยแอปเปิลวานิลลา,เมนูของหวานที่ทำจากแอปเปิลและลูกเกดที่มีกลิ่นอบเชยและวานิลลา มีอะไรบ้าง
Marzipan Mushrooms ,เมนูของหวาน เมนู Marzipan Mushrooms มีวัตถุดิบ โกโก้,มีเมนูของหวานอะไรที่มีรสชาติหวานและขมไหม
Chocolate-Buttermilk Sheet Cake ,เมนูของหวาน เมนู Chocolate-Buttermilk Sheet Cake มีวัตถุดิบ โกโก้ วานิลลา ช็อกโกแลต วอลนัท,แนะนำเมนูของหวานที่มีความหวานและขมนิดๆ และมีถั่วกรุบกรอบๆ
Mango Tart ,เมนูของหวาน เมนู Mango Tart มีวัตถุดิบ มะนาว มะม่วง,อยากกินเมนูของหวานที่มีรสเปรี้ยวๆ หวานๆ ด้วยผลไม้สด
Banana-Oatmeal Bars with Chocolate Chunks ,เมนูของหวาน เมนู Banana-Oatmeal Bars with Chocolate Chunks มีวัตถุดิบ ข้าวโอ๊ต กล้วย วานิลลา ช็อกโกแลต พีแคน,อยากกินขนมบาร์ที่หวานกำลังดี มีความกรอบและชุ่มฉ่ำ
Tipsy Cake ,เมนูของหวาน เมนู Tipsy Cake มีวัตถุดิบ วานิลลา บรั่นดี สตรอว์เบอร์รี่,มีเมนูของหวานอะไรที่มีรสหวานและกลิ่นหอมของผลไม้และแอลกอฮอล์ไหม
Cherry Crumble Pie ,เมนูของหวาน เมนู Cherry Crumble Pie มีวัตถุดิบ เชอร์รี่ บรั่นดี โอ๊ต อัลมอนด์ อบเชย,อยากกินพายที่มีส่วนผสมของผลไม้ รสอมเปรี้ยว และอบเชย
Rum-Raisin Ice Cream ,เมนูของหวาน เมนู Rum-Raisin Ice Cream มีวัตถุดิบ ลูกเกด รัม,อยากกินไอศกรีมที่มีรสชาติหวานเข้มและมีส่วนผสมของผลไม้แห้ง
Low-Fat Lime Cake ,เมนูของหวาน เมนู Low-Fat Lime Cake มีวัตถุดิบ มะนาว วานิลลา,อยากกินเค้กที่มีส่วนผสมของผลไม้รสเปรี้ยวและไม่หวานมาก
Chocolate Chip 'Wiches ,เมนูของหวาน เมนู Chocolate Chip 'Wiches มีวัตถุดิบ เลมอน ลูกจันทน์เทศ วานิลลา วอลนัท ช็อกโกแลต,อยากกินของหวานที่มีรสหวานและกลิ่นเครื่องเทศอุ่นๆ
Chocolate Pecan Gems Rosé ,เมนูของหวาน เมนู Chocolate Pecan Gems Rosé มีวัตถุดิบ อบเชย วานิลลา ช็อกโกแลต เปกัน,อยากกินขนมที่มีถั่วพีแคนและช็อกโกแลตพร้อมกลิ่นอบเชย
Applesauce Cake with Penuche Frosting ,เมนูของหวาน เมนู Applesauce Cake with Penuche Frosting มีวัตถุดิบ แอปเปิล เลมอน อบเชย ลูกจันทน์เทศ กานพลู วานิลลา ข้าวโอ๊ต ลูกเกด,อยากกินของหวานที่มีแอปเปิลและเครื่องเทศ
Vanilla Ice Cream with Kiwi and Banana in Lime Rum Syrup ,เมนูของหวาน เมนู Vanilla Ice Cream with Kiwi and Banana in Lime Rum Syrup มีวัตถุดิบ เหล้ารัม มะนาว กล้วย วานิลลา,อยากกินของหวานที่มีรสชาติผลไม้และรสชาติของแอลกอฮอล์
Some More ,เมนูของหวาน เมนู Some More มีวัตถุดิบ มาร์ชเมลโลว์ เกรแฮม ช็อกโกแลต,อยากกินของหวานที่มีส่วนผสมของมาร์ชเมลโลว์และช็อกโกแลต
Maple-Cinnamon Cake ,เมนูของหวาน เมนู Maple-Cinnamon Cake มีวัตถุดิบ เมเปิ้ล วานิลลา อบเชย,อยากกินของหวานที่มีรสเมเปิลและอบเชย
Mint Turkish Delight ,เมนูของหวาน เมนู Mint Turkish Delight มีวัตถุดิบ มิ้นต์,อยากกินของหวานที่มีส่วนผสมของมิ้นต์
Apple Tarts ,เมนูของหวาน เมนู Apple Tarts มีวัตถุดิบ แอปเปิล อบเชย แอปริคอต วานิลลา,อยากกินของหวานที่สอดไส้แอปเปิล
Lemon Cornmeal Cake with Raspberry Filling ,เมนูของหวาน เมนู Lemon Cornmeal Cake with Raspberry Filling มีวัตถุดิบ ราสเบอร์รี เลมอน อัลมอนด์,อยากกินของหวานที่มีรสชาติของผลไม้รสเปรี้ยวและถั่ว
Warm Citrus Gratin ,เมนูของหวาน เมนู Warm Citrus Gratin มีวัตถุดิบ เลมอน วานิลลา มาสคาร์โปน ส้ม,อยากกินของหวานที่มีรสชาติของผลไม้รสเปรี้ยวและมีเนื้อสัมผัสที่นุ่ม
Cranberry Mincemeat Lattice-Top Pie ,เมนูของหวาน เมนู Cranberry Mincemeat Lattice-Top Pie มีวัตถุดิบ แอปเปิล แครนเบอร์รี่ ลูกเกด พีแคน บรั่นดี เลมอน อบเชย ออลสไปซ์ กานพลู,อยากกินของหวานที่มีส่วนผสมของผลไม้แห้งและรสชาติของแอลกอฮอล์
